ecli,articles_considered,judgment_date
ECLI:CE:ECHR:2022:0201JUD005654316,10,2022-02-01
ECLI:CE:ECHR:2006:1019JUD003940402,6,2006-10-19
ECLI:CE:ECHR:2006:1019JUD003940402,29,2006-10-19
ECLI:CE:ECHR:2006:1019JUD003940402,41,2006-10-19
ECLI:CE:ECHR:2021:0413JUD004454613,6,2021-04-13
ECLI:CE:ECHR:2021:0608JUD002593917,5,2021-06-08
ECLI:CE:ECHR:2021:0608JUD002593917,10,2021-06-08
ECLI:CE:ECHR:2021:0608JUD002593917,34,2021-06-08
ECLI:CE:ECHR:2021:0608JUD002593917,35,2021-06-08
ECLI:CE:ECHR:2021:0608JUD002593917,41,2021-06-08
ECLI:CE:ECHR:2006:1114JUD004430102,6,2006-11-14
ECLI:CE:ECHR:2006:1114JUD004430102,29,2006-11-14
ECLI:CE:ECHR:2006:1114JUD004430102,41,2006-11-14
ECLI:CE:ECHR:2000:1116JUD004651699,6,2000-11-16
ECLI:CE:ECHR:2000:1116JUD004651699,41,2000-11-16
ECLI:CE:ECHR:2008:0320JUD001025403,6,2008-03-20
ECLI:CE:ECHR:2004:0408JUD002630795,2,2004-04-08
ECLI:CE:ECHR:2004:0408JUD002630795,3,2004-04-08
ECLI:CE:ECHR:2004:0408JUD002630795,5,2004-04-08
ECLI:CE:ECHR:2004:0408JUD002630795,6,2004-04-08
ECLI:CE:ECHR:2004:0408JUD002630795,8,2004-04-08
ECLI:CE:ECHR:2004:0408JUD002630795,18,2004-04-08
ECLI:CE:ECHR:2004:0408JUD002630795,38,2004-04-08
ECLI:CE:ECHR:2004:0408JUD002630795,41,2004-04-08
ECLI:CE:ECHR:2000:0111JUD003143096,6,2000-01-11
ECLI:CE:ECHR:2000:0111JUD003143096,41,2000-01-11
ECLI:CE:ECHR:2009:0730JUD006733601,11,2009-07-30
ECLI:CE:ECHR:2009:0730JUD006733601,14,2009-07-30
ECLI:CE:ECHR:2009:0730JUD006733601,37,2009-07-30
ECLI:CE:ECHR:2009:0730JUD006733601,41,2009-07-30
ECLI:CE:ECHR:2009:1020JUD001854506,6,2009-10-20
ECLI:CE:ECHR:2014:1118JUD005628009,6,2014-11-18
ECLI:CE:ECHR:1997:1128JUD002318694,2,1997-11-28
ECLI:CE:ECHR:1997:1128JUD002318694,3,1997-11-28
ECLI:CE:ECHR:1997:1128JUD002318694,5,1997-11-28
ECLI:CE:ECHR:1997:1128JUD002318694,6,1997-11-28
ECLI:CE:ECHR:1997:1128JUD002318694,8,1997-11-28
ECLI:CE:ECHR:1997:1128JUD002318694,13,1997-11-28
ECLI:CE:ECHR:1997:1128JUD002318694,14,1997-11-28
ECLI:CE:ECHR:1997:1128JUD002318694,18,1997-11-28
ECLI:CE:ECHR:1997:1128JUD002318694,26,1997-11-28
ECLI:CE:ECHR:2007:0403JUD006261700,8,2007-04-03
ECLI:CE:ECHR:2007:0403JUD006261700,13,2007-04-03
ECLI:CE:ECHR:2007:0403JUD006261700,41,2007-04-03
ECLI:CE:ECHR:2017:0117JUD007651211,2,2017-01-17
ECLI:CE:ECHR:2017:0117JUD007651211,3,2017-01-17
ECLI:CE:ECHR:2013:0716JUD003285002,6,2013-07-16
ECLI:CE:ECHR:2000:1012JUD004507998,6,2000-10-12
ECLI:CE:ECHR:2000:1012JUD004507998,41,2000-10-12
ECLI:CE:ECHR:2016:1006JUD003369611,8,2016-10-06
ECLI:CE:ECHR:2016:1006JUD003369611,35,2016-10-06
ECLI:CE:ECHR:2007:0705JUD006215400,6,2007-07-05
ECLI:CE:ECHR:2007:0705JUD006215400,13,2007-07-05
ECLI:CE:ECHR:2005:0630JUD001860203,6,2005-06-30
ECLI:CE:ECHR:2005:0630JUD001860203,29,2005-06-30
ECLI:CE:ECHR:2005:0630JUD001860203,41,2005-06-30
ECLI:CE:ECHR:2003:0724JUD002801895,6,2003-07-24
ECLI:CE:ECHR:2003:0724JUD002801895,37,2003-07-24
ECLI:CE:ECHR:2003:0724JUD002801895,39,2003-07-24
ECLI:CE:ECHR:2010:0107JUD002596504,1,2010-01-07
ECLI:CE:ECHR:2010:0107JUD002596504,2,2010-01-07
ECLI:CE:ECHR:2010:0107JUD002596504,4,2010-01-07
ECLI:CE:ECHR:2010:0107JUD002596504,5,2010-01-07
ECLI:CE:ECHR:2010:0107JUD002596504,37,2010-01-07
ECLI:CE:ECHR:2010:0107JUD002596504,41,2010-01-07
ECLI:CE:ECHR:2010:0107JUD002596504,35,2010-01-07
ECLI:CE:ECHR:2010:0302JUD007803901,13,2010-03-02
ECLI:CE:ECHR:2010:0302JUD007803901,P1,2010-03-02
ECLI:CE:ECHR:2010:0302JUD007803901,41,2010-03-02
ECLI:CE:ECHR:2006:0307JUD003828702,5,2006-03-07
ECLI:CE:ECHR:2006:0307JUD003828702,41,2006-03-07
ECLI:CE:ECHR:2008:0703JUD004059305,6,2008-07-03
ECLI:CE:ECHR:2021:0112JUD002972305,P1,2021-01-12
ECLI:CE:ECHR:2012:0124JUD004965106,5,2012-01-24
ECLI:CE:ECHR:2012:0124JUD004965106,6,2012-01-24
ECLI:CE:ECHR:2012:0124JUD004965106,13,2012-01-24
ECLI:CE:ECHR:2004:0720JUD003759897,P1,2004-07-20
ECLI:CE:ECHR:2013:0718JUD000231208,6,2013-07-18
ECLI:CE:ECHR:2013:0718JUD000231208,7,2013-07-18
ECLI:CE:ECHR:2013:0718JUD000231208,14,2013-07-18
ECLI:CE:ECHR:2013:0718JUD000231208,35,2013-07-18
ECLI:CE:ECHR:2013:0718JUD000231208,41,2013-07-18
ECLI:CE:ECHR:2013:0718JUD000231208,P12,2013-07-18
ECLI:CE:ECHR:2008:0729JUD003267803,6,2008-07-29
