Right,Physical,Procedural,Mental,Age,Gender,Family affected,Community Rights,Nationality,A right for the State,Property
Art 6 - Right to a fair trial,,Yes,,,,,,,,
Art 3 - Prohibition of torture,Yes,,,,,,,,,
Prt 1 Art 1 - Protection of property,,,,,,,,,,Yes
Art 8 - Right to respect for private and family life,Yes,,,Yes,,Yes,,,,
Art 5 - Right to liberty and security,Yes,,,,,,,,,
Art 13 - Right to an effective remedy,,Yes,,,,,,,,
Art 10 - Freedom of expression,,,Yes,,,,,,,
Art 14 - Prohibition of discrimination,Yes,,Yes,Yes,Yes,,,,,
Art 2 - Right to life,,,,,,,,,,
Art 11 - Freedom of assembly and association,Yes,,Yes,,,,,,,
"Art 9 - Freedom of thought, conscience and religion",,,Yes,,,,,,,
Art 7 - No punishment without law,,Yes,,,,,,,,
Prt 1 Art 3 - Right to free elections,,,,,,,Yes,,,
Art 1 - Obligation to respect Human Rights,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Prt 1 Art 2 - Right to Educatioin,,,Yes,Yes,,Yes,,,,
Prt 4 Art 2 - Freedom of movement,Yes,,,,,,,,,
Prt 7 Art 4 - Right not to be tried or punished twice,,Yes,,,,,,,,
Art 4 - Prohibition of slavery and forced labour,,,,,,,,,,
Art 17 - Prohibition of abuse of rights,,,,,,,,,,
Art 12 - Right to marry,,,Yes,,Yes,Yes,,,,
Art 15 - Derogation in time of emergency,,,,,,,,,Yes,
Prt 4 Art 3 - Prohibition of collective expulsion of aliens,Yes,,,,,,Yes,Yes,,
Prt 7 Art 2 - Right of appeal in criminal matters,,Yes,,,,,,,,
Prt 7 Art 1 - Procedural safeguards relating to expulsion of aliens,Yes,Yes,,,,,,Yes,,
Prt 12 Art 1 - General prohibition of discrimination,,,Yes,Yes,Yes,,,,,
Prt 7 Art 3 - Compensation for wrongful conviction,,Yes,,,,,,,,
Prt 6 Art 1 - Abolition of the death penalty,Yes,,,,,,,,,
Prt 7 Art 5 - Equality between spouses,,Yes,,,Yes,Yes,,,,
Art 16 - Restrictions on political activity of aliens,,,,,,,,Yes,,
Prt 4 Art 3 - Prohibition of explusion of nationals,Yes,,,,,,,Yes,,
Prt 4 Art 1 - Prohibition of imprisonment for debt,Yes,,,,,,,,,
